Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
59.0,24.0,25 W JOHNSON ST,40.0456407948262,-75.1830248403828,GRACE BAPTIST CHURCH,M,L
59.0,25.0,6300 GREENE ST,40.0387824508362,-75.1861819226368,STAPELEY RETIREMENT HOME,A,L
60.0,1.0,4508 SANSOM ST,39.9558732701316,-75.2121635097799,SANSOM HOUSE SR LIVING,F,L
60.0,2.0,4901 CHESTNUT ST,39.9586038593843,-75.2199090399192,WEST PHILA HIGH SCHOOL,F,H
60.0,3.0,52ND & SANSOM STS,39.9577157415989,-75.225352795767,BLACKWELL LIBRARY,F,L
60.0,4.0,5120 CHESTNUT ST,39.9580731348712,-75.2241148247034,WEST PHILA YMCA,M,H
60.0,5.0,5120 CHESTNUT ST,39.9580731348712,-75.2241148247034,WEST PHILA YMCA,M,H
60.0,6.0,56TH & CHESTNUT STS,39.9594635589592,-75.2331764389309,FIRE ENGINE CO # 57,F,L
60.0,7.0,58TH & WALNUT STS,39.9584344881291,-75.2374485450662,SAYRE SCHOOL,M,L
60.0,8.0,4901 CHESTNUT ST,39.9586038593843,-75.2199090399192,WEST PHILA HIGH SCHOOL,F,H
60.0,9.0,5026 SPRUCE ST,39.953996687718,-75.2231958384948,LIGHT OF ELMWOOD LODGE # 45,M,H
60.0,10.0,52ND & PINE STS,39.9535291218438,-75.2262241289369,HUEY SCHOOL,M,L
60.0,11.0,52ND & PINE STS,39.9535291218438,-75.2262241289369,HUEY SCHOOL,M,L
60.0,12.0,4901 CHESTNUT ST,39.9586038593843,-75.2199090399192,WEST PHILA HIGH SCHOOL,F,H
60.0,13.0,259 S 52ND ST,39.9553871798155,-75.2256063929279,BARBER SHOP,R,L
60.0,14.0,52ND & SANSOM STS,39.9577157415989,-75.225352795767,BLACKWELL LIBRARY,F,L
60.0,15.0,52ND & PINE STS,39.9535291218438,-75.2262241289369,HUEY SCHOOL,M,L
60.0,16.0,52ND & PINE STS,39.9535291218438,-75.2262241289369,HUEY SCHOOL,B,L
60.0,17.0,57TH & SPRUCE STS,39.9558325894729,-75.2359985412262,HAMILTON SCHOOL,M,L
60.0,18.0,57TH & SPRUCE STS,39.9558325894729,-75.2359985412262,HAMILTON SCHOOL,M,L
60.0,19.0,58TH & WALNUT STS,39.9584344881291,-75.2374485450662,SAYRE SCHOOL,M,L
60.0,20.0,57TH & SPRUCE STS,39.9558325894729,-75.2359985412262,HAMILTON SCHOOL,M,L
60.0,21.0,5800 SPRUCE ST,39.9558733343455,-75.2381209670519,MORRIS RECREATION CENTER,A,L
60.0,22.0,5800 SPRUCE ST,39.9558733343455,-75.2381209670519,MORRIS RECREATION CENTER,A,L
60.0,23.0,4901 CHESTNUT ST,39.9586038593843,-75.2199090399192,WEST PHILA HIGH SCHOOL,F,H
61.0,1.0,5622 N 05TH ST,40.0371415986735,-75.1306213685631,STOREFRONT,M,N
61.0,2.0,5TH & NEDRO AVE,40.0410490034895,-75.1294990785556,LOWELL SCHOOL,M,L
61.0,3.0,5TH & NEDRO AVE,40.0410490034895,-75.1294990785556,LOWELL SCHOOL,M,L
61.0,4.0,5TH & NEDRO AVE,40.0410490034895,-75.1294990785556,LOWELL SCHOOL,M,L
61.0,5.0,201 E OLNEY AVE,40.0356321599792,-75.1182926017107,GROVER WASHINGTON SCHOOL,M,L
61.0,6.0,6TH & SPENCER STS,,,FISHER PARK RECREATION CTR,F,L
61.0,7.0,5TH & NEDRO AVE,40.0410490034895,-75.1294990785556,LOWELL SCHOOL,M,L
61.0,8.0,5TH & NEDRO AVE,40.0410490034895,-75.1294990785556,LOWELL SCHOOL,M,L
61.0,9.0,5906 N 2ND ST,40.0407488473862,-75.1243042276346,HAIR SALON,N,N
61.0,10.0,A & SPENCER STS,,,OLNEY RECREATION CENTER,F,L
61.0,11.0,A & SPENCER STS,,,OLNEY RECREATION CENTER,F,L
61.0,12.0,A & SPENCER STS,,,OLNEY RECREATION CENTER,F,L
61.0,13.0,6TH & SPENCER STS,,,FISHER PARK REC CENTER,F,L
61.0,14.0,FRONT ST & GODFREY AVE,40.0444816072957,-75.1194545932581,FINLETTER LITTLE SCHOOL HOUSE,F,L
61.0,15.0,FRONT ST & GODFREY AVE,40.0444816072957,-75.1194545932581,FINLETTER LITTLE SCHOOL HOUSE,F,L
61.0,16.0,A & SPENCER STS,,,OLNEY RECREATION CENTER,F,L
61.0,17.0,400 W SPENCER ST,40.0436946555902,-75.1271453228,ST HELENA'S SCHOOL,R,L
61.0,18.0,400 W SPENCER ST,40.0436946555902,-75.1271453228,ST HELENAS SCHOOL,R,L
61.0,19.0,6350 N 02ND ST,40.0476688642457,-75.1233110187584,HOSOTO SCHOOL,M,L
61.0,20.0,FRONT ST & GODFREY AVE,40.0444816072957,-75.1194545932581,FINLETTER LITTLE SCHOOL HOUSE,F,L
61.0,21.0,12TH ST & OAKLANE AVE,,,ELLWOOD SCHOOL,M,L
61.0,22.0,6901 OLD YORK RD,40.0578720836368,-75.1380339876177,BROMLEY HOUSE APTS,R,N
61.0,23.0,12TH ST & OAKLANE AVE,,,ELLWOOD SCHOOL,M,L
61.0,24.0,600 W CHELTENHAM AVE,40.0561443497028,-75.1286153572545,CHELTENHAM NURSING CENTER,B,L
61.0,25.0,6350 N 02ND ST,40.0476688642457,-75.1233110187584,HOSOTO SCHOOL,M,L
61.0,26.0,6350 N 02ND ST,40.0476688642457,-75.1233110187584,HOSOTO SCHOOL,M,L
61.0,27.0,FRONT & GODFREY AVE,40.0444816072957,-75.1194545932581,FINLETTER LITTLE SCHOOLHOUSE,F,L
61.0,28.0,FRONT & GODFREY AVE,40.0444816072957,-75.1194545932581,FINLETTER LITTLE SCHOOLHOUSE,F,L
62.0,1.0,TORRESDALE AVE & WAKELING,40.0125449870794,-75.0732958299708,ST    HARDING MIDDLE SCHOOL,N,N
62.0,2.0,TORRESDALE AVE & WAKELING,40.0125449870794,-75.0732958299708,ST    HARDING MIDDLE SCHOOL,B,N
62.0,3.0,HARBISON AVE & SANGER ST,40.0166627066907,-75.0667537355837,SULLIVAN SCHOOL,N,N
62.0,4.0,BRIDGE & CHARLES STS,40.0196557138769,-75.0733809442432,MASTERY SMEDLEY CHARTER SCHOOL,A,L
62.0,5.0,4201 COMLY ST,40.0227483919756,-75.0634694759012,JOHNNIE'S RESTAURANT,M,L
62.0,6.0,5000 FRANKFORD AVE,40.0205342458186,-75.0806389270391,FRANKFORD HOSPITAL/CONF ROOM,B,L
62.0,7.0,5411 OXFORD AVE,40.0306122713177,-75.0843724875672,REGAL BALLROOM,M,L
62.0,8.0,5200 PENN ST,40.0245543574827,-75.0801414509041,MC ILVAIN RECREATION CENTER,B,L
62.0,9.0,BRIDGE & CHARLES STS,40.0196557138769,-75.0733809442432,MASTERY SMEDLEY CHARTER SCHOOL,A,L
62.0,10.0,5411 OXFORD AVE,40.0306122713177,-75.0843724875672,REGAL BALLROOM,M,L
62.0,11.0,5411 OXFORD AVE,40.0306122713177,-75.0843724875672,REGAL BALLROOM,M,L
62.0,12.0,5411 OXFORD AVE,40.0306122713177,-75.0843724875672,REGAL BALLROOM,M,L
62.0,13.0,CHELTENHAM & CHARLES ST,40.0219055827607,-75.069088418759,WISSINOMING RECREATION CENTER,F,L
62.0,14.0,1466 E CHELTENHAM AVE,40.0294414516748,-75.0811424336544,COFFEE SHOP,R,L
62.0,15.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,16.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,17.0,6101 FRANKFORD AVE,40.0267845270522,-75.064363583572,DISIMONE AUTO,M,L
62.0,18.0,4201 COMLY ST,40.0227483919756,-75.0634694759012,JOHNNIE'S RESTAURANT,M,L
62.0,19.0,4201 COMLY ST,40.0227483919756,-75.0634694759012,JOHNNIE'S RESTAURANT,M,L
62.0,20.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,21.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,22.0,6250 HARBISON AVE,40.028992531987,-75.0626543036551,AUTO PROS,M,N
62.0,23.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,24.0,SAUL & COMLY STS,40.0306313474922,-75.075264574658,ZIEGLER SCHOOL NEW BUILDING,M,L
62.0,25.0,6250 HARBISON AVE,40.028992531987,-75.0626543036551,AUTO PROS,M,N
62.0,26.0,6101 FRANKFORD AVE,40.0267845270522,-75.064363583572,DISIMONE AUTO,M,L
63.0,1.0,7976 OXFORD AVENUE,40.0768320858746,-75.0854909735947,LOUDENSLAGER POST # 366,B,L
63.0,2.0,7902 OXFORD AVENUE,40.0748293148006,-75.0855803805729,MEMORIAL PRESBYTERIAN CHURCH,F,L
63.0,3.0,JEANES & RHAWN STS,40.0765619840861,-75.0825012227343,FOXCHASE LIBRARY,M,L
63.0,4.0,RHAWN & VERREE RDS,40.0728857615199,-75.0759002048996,FIRE ENGINE CO # 56,M,L
63.0,5.0,7725 BINGHAM ST,40.0666301077591,-75.0759474034624,CHRIST MISSION APOSTOLIC FAITH,M,H
63.0,6.0,7725 BINGHAM ST,40.0666301077591,-75.0759474034624,CHRIST MISSION APOSTOLIC FAITH,M,H
63.0,7.0,8580 VERREE RD,40.0835390487921,-75.0657950345537,LAFAYETTE REDEEMER ROOM,M,H
63.0,8.0,CENTRAL & COTTMAN STREET,40.065276195802,-75.0903705876169,RYERS LIBRARY/BURHOME PARK,N,L
63.0,9.0,RHAWN & VERREE RD,40.0728857615199,-75.0759002048996,FIRE ENGINE CO # 56,M,L
63.0,10.0,8001 VERREE RD & RHAWN ST,40.0735397980765,-75.0738160321769,KNOWLTON MANSION,F,L
63.0,11.0,8580 VERREE ROAD,40.0835390487921,-75.0657950345537,LAFAYETTE REDEEMER ROOM,M,H
63.0,12.0,8001 VERREE RD & RHAWN ST,40.0735397980765,-75.0738160321769,KNOWLTON MANSION,F,L
63.0,13.0,JEANES & RHAWN STS,40.0765619840861,-75.0825012227343,FOXCHASE LIBRARY,M,L
63.0,14.0,441 HOFFNAGLE ST,40.0805723817751,-75.0789729110833,RESIDENCE,M,L
